Comune,SI_mean_km,SP_mean_km,SS_mean_km,SI_mean_min,SP_mean_min,SS_mean_min,SI_St.Dv_km,SP_St.Dv_km,SS_St.Dv_km,SI_St.Dv_min,SP_St.Dv_min,SS_St.Dv_min
ACCUMOLI,7.538986914263452,7.538986914263452,14.856323484501287,11.583763011094252,11.583763011094252,19.506069830810873,4.768208919500068,4.768208919500068,3.863248654522081,6.405264038851748,6.405264038851748,5.097948025830989
ACQUAFONDATA,5.24424604292886,5.62024604292886,10.412990391793711,8.854635992922617,9.43796932625595,17.670355368079786,2.240821389580169,2.240821389580169,2.7605448737522815,3.759451053308479,3.759451053308477,4.855466564147627
ACQUAPENDENTE,5.273215454771853,5.118367671979095,5.5282154547718525,8.41566950735154,7.126602883987718,9.217029542919862,6.573614353357418,6.888246850009564,6.573614353357418,7.557831050320267,8.427703160147226,7.6860925390290795
ACUTO,1.6510451772346975,1.6510451772346975,1.6510451772346975,3.4315516318184027,3.4315516318184027,3.4315516318184027,1.7239957463211253,1.7239957463211253,1.7239957463211253,2.567983067903104,2.567983067903104,2.567983067903104
AFFILE,4.878522152121633,1.670054762426858,1.670054762426858,7.33889966174904,3.37395655852734,3.37395655852734,5.804639566760368,1.4538115421195414,1.4538115421195414,8.320289791961708,2.427733282073813,2.427733282073813
AGOSTA,2.5983745981982707,2.5983745981982707,2.5759646491308796,5.345382471850349,5.345382471850349,5.347796384469246,1.2034202646346506,1.2034202646346506,1.2031943594725945,1.0171105588326614,1.0171105588326614,0.9930312739844155
ALATRI,6.125386866429978,6.094074783465787,6.130068885639889,9.79336007338749,9.733458882061083,10.34655274059973,2.0835993766638214,1.8625793094075318,3.1395622524334126,2.6951155548887717,2.312975216119302,4.055823675633679
ALBANO LAZIALE,4.705187061008694,4.872163446697858,5.250404440661161,9.689200386575862,10.033547538235696,11.05781656698041,0.5798324675940378,0.6719456355560747,0.9665695835896325,0.9197528015990949,1.1715377901078536,1.0928892745792227
ALLUMIERE,1.1253878227999063,1.2051843521636112,1.5551927214164296,2.9895611525543906,3.3322345072864263,3.5770607256961706,1.1561195872400052,0.7191275964667189,1.039446968344225,1.7913371790059203,0.18856180831641295,0.7188918942063229
ALVITO,2.329008106792123,2.452032887996111,2.3068549079724785,3.6280531909352582,4.124494632839451,3.581943466276146,1.9539895598492845,1.9049138213228092,2.0610852157702424,2.3034856839790208,2.087972612279584,2.6468989542621517
AMASENO,0.962409843836648,1.5154233907439176,0.9860598415917832,2.260564187963801,3.637591047546784,2.340204122619666,0.28349603171825877,0.8001538914483889,0.35949443667461667,0.3278366237195777,2.214195573348713,0.4866742769572393
AMATRICE,6.158558824714965,6.288271984350668,6.288271984350668,9.620194687911493,10.00156713424062,10.00156713424062,2.843038561270242,3.046739496243651,3.046739496243651,3.5607902287469977,3.793695441208232,3.793695441208232
ANAGNI,5.933787775709629,5.94324911798803,5.389400524233608,9.309538681795852,9.319220070572548,9.122870731239582,2.1421140056854693,2.1366486732695704,2.139296829278416,2.850180693027371,2.8101006339007815,3.0102376441510406
ANGUILLARA SABAZIA,5.1696902750568,5.0810177742063685,5.283589525269524,8.908891676122375,8.528561066889786,8.420895433948635,3.2572367783603067,3.206731192571985,3.323471118082309,3.3562180762776883,3.2668995141365724,3.4648829910134262
ANTICOLI CORRADO,6.671,0.375,0.375,14.316666666666666,1.2333333333333334,1.2333333333333334,,,,,,
ANTRODOCO,1.5627966179347528,1.6765925470393321,1.3788113362051435,2.906053785080963,3.36013871610074,2.3769666040984796,4.435944213186184,4.262819802274859,4.6149410523501455,4.465707815822291,4.090107759152744,4.933126872556668
AQUINO,2.3928263200385933,2.6480863158691106,2.5416208859340967,3.769902875084087,4.23103737347291,3.7687933697210094,2.3110671488874286,2.654543331723933,2.8361504661541965,2.9742572213106446,3.087713105555991,3.801213256609292
ARCE,5.557717992204408,4.022880950035085,4.022880950035085,7.676928796127217,5.923630246193802,5.923630246193802,0.705388558070758,1.9942986277093802,1.9942986277093802,0.8074619562213509,2.3849228798552673,2.3849228798552673
ARCINAZZO ROMANO,3.3879472669625565,4.548062221902389,1.1956997513658285,6.505895320246973,6.236113016684484,2.4904502247476077,4.152838125908594,0.24041630560342606,4.711452483045966,3.2644763064778943,0.5597928684393504,5.173664615681575
ARICCIA,3.309290054923606,3.161890054923606,2.244034211458381,6.970163089014319,6.326997449411208,4.399652039546076,0.3897572577900251,0.3897572577900251,0.22344574285494892,0.7896025723249771,0.7825315045131106,0.48318963381080704
ARLENA DI CASTRO,0.637,7.823,7.823,3.783333333333333,11.183333333333334,11.183333333333334,,,,,,
ARNARA,1.532685820557995,1.532685820557995,1.532685820557995,2.9359125770076284,2.9359125770076284,2.9359125770076284,0.7997266373233071,0.7997266373233071,0.7997266373233071,1.4885545851887394,1.4885545851887394,1.4885545851887394
ARPINO,5.787114174070019,4.659962464347663,4.164289949396627,9.743496725116863,7.8270513461155025,7.08855589518671,1.0858569436043053,1.3566887368350087,2.430922924149981,1.5758681933669123,2.197851212267804,3.7880374958777057
ARSOLI,0.466,0.158,0.025,1.45,0.7333333333333333,0.11666666666666659,,,,,,
ARTENA,4.032656178021794,3.6725738488242556,3.5274527710859616,6.526271706971948,5.824194761859961,5.837164490148218,0.7689383278261007,0.8736135694630663,1.7589702385202541,0.9601255704912316,1.1397238639736866,2.249425852671447
ASCREA,5.538070758501298,13.875344649270849,16.188851009616453,10.391906503511763,25.594584459431545,23.913808501513355,2.264155913359325,7.759082709959984,5.5069476118808325,6.175399222362515,13.729656668038801,6.847150664489738
ATINA,2.903211668539895,2.903211668539895,3.2942096697105767,4.994258337343779,4.994258337343779,5.246444564642002,1.326603201618877,1.326603201618877,2.790598971221379,2.1771599051344968,2.1771599051344968,2.77784888797869
AUSONIA,3.189363754159227,3.2771944967064504,3.4452412603015983,5.4598959301746,5.723159027191066,6.2122007744583065,1.7832310001791694,1.784247803060795,1.7856532189038887,2.6512661354930254,2.6830342859900207,2.716238114552827
BAGNOREGIO,4.287154225062339,4.430806399861577,4.430806399861577,6.214799165920779,6.4534868880693885,6.4534868880693885,4.2265998450290985,4.572323798318166,4.572323798318166,4.170054178527161,5.231032756894541,5.231032756894541
BARBARANO ROMANO,0.41207454228378954,5.877074542283789,5.552694796797421,0.6875503592534628,7.546622471448663,7.0069600466758315,0.737512372777569,0.7375123727775692,0.7368052659963817,1.249221980096234,1.0488750587600455,1.0370899457402698
BASSANO IN TEVERINA,0.205,0.422,8.652,0.5166666666666667,1.15,10.716666666666669,,,,,,
BASSANO ROMANO,0.161,0.331,0.551,0.4666666666666667,1.0166666666666666,1.9166666666666667,,,,,,
BASSIANO,1.8723644350174256,1.711166580590422,1.711166580590422,3.840322028172239,3.3830523947261075,3.3830523947261075,1.5711281509369839,1.507939543438883,1.507939543438883,2.2653335540513924,2.0132144464530866,2.0132144464530866
BELLEGRA,1.4920874393065051,1.4920874393065051,1.789517765232755,3.127116163233075,3.127116163233075,3.9500429979787257,2.013034028525102,2.013034028525102,1.70287372305367,4.086096004202001,4.086096004202001,2.4664038899069527
BELMONTE CASTELLO,0.76,0.94,6.938,1.8,2.15,8.766666666666667,,,,,,
BELMONTE IN SABINA,2.8446357285084205,2.8446357285084205,11.127962149530562,4.943129649688791,4.943129649688791,16.492890280077635,1.529502424537688,1.529502424537688,1.6862682665183109,2.2512959230925937,2.2512959230925937,2.333149794368755
BLERA,1.9229873012048009,1.9845840182870405,1.9822841716466206,3.7301112229244424,3.5509612995542197,3.596692608108183,4.702293093091214,4.578095710372747,4.662987275699273,6.687197552870045,6.201933688897478,6.610849668033098
BOLSENA,2.0528190258934846,2.6654629813211597,2.0528190258934846,3.743963625565364,5.871256159362117,3.743963625565364,2.8241844840590704,2.332038164353234,2.8241844840590704,2.38059282999471,1.3788582233137665,2.38059282999471
BOMARZO,1.4270452337700574,1.7957745388425022,1.7957745388425022,2.080896911834302,3.2544405894784623,3.2544405894784623,3.99373910014162,3.479672470219,3.479672470219,5.821845831769242,4.384062043356595,4.384062043356595
BORBONA,19.164442902612752,5.999841974240336,19.70344290261275,22.48085530574915,8.4604518043701,22.961051351219503,1.6087300374311828,1.686479271539776,1.6087300374311824,3.108992334074393,3.9729758414867105,3.3495577375284977
BORGO VELINO,1.070793635829406,1.217793635829406,2.6800045514285062,2.312046030083426,2.812046030083426,4.626203248268149,0.892368757857423,0.8923687578574231,0.8506494577674165,1.249221980096234,1.249221980096234,0.9074537025227359
BORGOROSE,5.412045063422064,5.412045063422064,6.2883789595714505,7.731255113158222,7.731255113158222,9.549754434343242,2.688832607765388,2.688832607765388,2.7330991877957285,2.8926033123237658,2.8926033123237658,3.140869716545495
BOVILLE ERNICA,4.17002121111474,4.355565034851961,3.691641206200234,6.856085783791292,7.103709242266854,6.151452751532262,0.7955946039574138,0.8987637720495403,1.627924296104138,1.1992063347620097,1.4184324507300128,2.316558842722298
BRACCIANO,4.086106348058245,3.9943440714771876,3.740809476092894,6.937267405549849,6.73559133020654,6.714633893476723,2.8729505622849367,2.8207203355013966,3.0599009497404035,2.853413232987697,2.733773818391613,3.0038663357351574
BROCCOSTELLA,1.8061432189391997,1.699719824140701,1.8355722908212033,2.8373629303687244,2.620842338212785,3.01332694301622,1.9947047191668912,1.834688234187669,1.9950871952540488,2.6319396804413056,2.452828110720509,2.587268508163259
CALCATA,0.694837438845585,2.8665848976062924,3.0590449773689157,2.0016778160702993,5.305002508491538,5.781993487724227,0.4014801780079975,0.1840009057948719,0.18395923461462868,0.784278389726883,0.4220759980716129,0.42990093604784707
CAMERATA NUOVA,31.99,0.128,31.99,36.516666666666666,0.5,36.516666666666666,,,,,,
CAMPAGNANO DI ROMA,4.186361247880199,3.9077399030491535,3.427143749008788,8.073532900637138,6.906259300220997,5.283010396879793,1.762663703981373,1.762236552414762,1.614893288528172,2.417542944580072,2.466084766198047,2.3614329845965862
CAMPODIMELE,11.103693604752221,11.40769360475222,14.636100429041312,13.54292333198884,14.153203410031242,24.967653009246536,1.5697770542341385,1.5697770542341347,1.0224764055957476,3.5237487929129627,3.511963679893185,2.062394778460762
CAMPOLI APPENNINO,2.024653529676634,1.912229697312904,1.791990020491646,2.7225499448372483,3.334407299702812,2.733659158005206,1.7844883487057759,1.256688240309956,1.7548031940932864,1.603872628174509,2.208254715581717,2.183624874513155
CANALE MONTERANO,1.392363669513286,1.493535065613972,1.4007645402592817,2.7149986719802413,3.3148552900670185,2.569450261076847,1.2260332717073112,1.0831246080976404,1.3824342057882297,1.9440912377614232,1.5706214858621579,2.3565265949258016
CANEPINA,0.547949755578666,0.547949755578666,0.547949755578666,1.58909526843316,1.58909526843316,1.58909526843316,1.1865251788310267,1.1865251788310267,1.1865251788310267,1.8502627441047994,1.8502627441047994,1.8502627441047994
CANINO,0.4309999999999999,0.655,0.4309999999999999,1.6999999999999995,2.1666666666666665,1.6999999999999995,,,,,,
CANTALICE,3.1332625173870956,3.1332625173870956,3.1332625173870956,5.818872826602991,5.818872826602991,5.818872826602991,1.3639234049408546,1.3639234049408546,1.3639234049408546,1.9797204169510725,1.9797204169510725,1.9797204169510725
CANTALUPO IN SABINA,0.8828106427170921,0.8828106427170921,6.025826188194975,2.0334481206172716,2.0334481206172716,8.416873283777754,1.552099384704472,1.552099384704472,1.719683691845684,1.2374368670764584,1.2374368670764584,2.2273863607376256
CANTERANO,8.669,1.579,8.646,14.200000000000001,3.65,14.116666666666667,,,,,,
CAPENA,3.8073083476510714,4.833072253876854,3.566643644035568,5.888761498254548,7.55444512909689,6.378504052569832,0.8300617877173792,0.46179400427133377,1.95155514300531,1.17623064001858,0.40388326670176994,2.3493666826453055
CAPODIMONTE,8.085910704925128,1.0970197612764294,3.426469818948995,9.611640331232667,2.5369679269372742,5.123637649683101,0.6217821161789714,0.33917694497120526,0.7649067481290339,0.8808140174482542,0.42371811034818546,0.7750149341452383
CAPRANICA,2.6672091381906804,2.577325284212919,3.26934936437468,4.402409253734727,4.085819569214758,5.550418457304525,2.53380233049068,2.499327042759044,2.499645624883655,3.203221035145717,3.3800065746155643,3.2087084917744066
CAPRANICA PRENESTINA,10.646621372080876,12.545601832239022,16.248601832239025,17.505965873478264,22.49041948818705,28.857231909564256,5.250911444692246,3.25017420045962,3.250174200459621,7.48868281945299,4.878021380907691,4.818377243352711
CAPRAROLA,1.541728392726335,1.541728392726335,1.541728392726335,2.950502793903284,2.950502793903284,2.950502793903284,2.2189010793633868,2.2189010793633868,2.2189010793633868,3.181980515339464,3.181980515339464,3.181980515339464
CARBOGNANO,0.7230000000000001,0.7230000000000001,0.7230000000000001,2.1333333333333333,2.1333333333333333,2.1333333333333333,,,,,,
CARPINETO ROMANO,0.78,0.794,0.025,2.466666666666667,2.466666666666667,0.05,,,,,,
CASALATTICO,7.065311278245964,5.873654515553034,5.873654515553034,11.837211839421117,9.9974921105053,9.9974921105053,2.7469356927310837,2.495461820986248,2.495461820986248,4.726791253647188,4.400606018872098,4.400606018872098
CASALVIERI,2.877957791199455,2.802999897425782,2.802999897425782,4.443576888378458,4.218135172289167,4.218135172289167,1.5580750750719425,1.6277580077726947,1.6277580077726947,2.192079760230835,2.0081629052365884,2.0081629052365884
CASAPE,5.984999999999999,0.622,3.438,9.766666666666667,2.2,6.416666666666667,,,,,,
CASAPROTA,1.5093055836132534,1.5093055836132534,12.086448970833422,3.8039422152682425,3.8039422152682425,16.535124059933334,1.1737972567696688,1.1737972567696688,1.0521748904055823,2.415948169054037,2.415948169054037,1.9916841003421062
CASPERIA,2.148082600759347,2.148082600759347,2.148082600759347,3.9999662672214935,3.9999662672214935,3.9999662672214935,1.3227738657835661,1.3227738657835661,1.3227738657835661,2.069702071957862,2.069702071957862,2.069702071957862
CASSINO,6.062186033934787,6.16057394155406,5.470885386290411,10.15499592640262,10.712687813953076,10.368559169174905,1.883731240444972,2.4307146006261138,2.3304612849961273,2.2880123875979055,3.224279428631225,3.1584954024352037
CASTEL DI TORA,0.341,4.03,14.739,0.7833333333333333,7.033333333333333,21.25,,,,,,
CASTEL GANDOLFO,1.2145623748329502,3.7261467046614,3.3324628443054367,2.8780215014798207,8.43387881562848,8.54252068718359,1.5821442201434524,0.3409693290214436,1.7235377377166226,3.537824713535664,0.7159395536247771,3.947725552395586
CASTEL MADAMA,2.1841320487474216,2.21776658830222,2.061227313884826,4.0096721298318885,4.178900434350985,3.6330869861196917,1.731185546467015,1.8081120540497482,1.7847708443009334,2.2912384560650687,2.4800985643495883,2.448463236853317
CASTEL SAN PIETRO ROMANO,1.5399646961319404,1.5399646961319404,4.360957835223194,3.7295985503054965,3.7295985503054965,8.131221634784756,2.1501194346671384,2.1501194346671384,1.465874795699369,4.031573881620299,4.031573881620299,2.462778467052564
CASTEL SANT'ANGELO,5.150862758935192,2.13488767984565,6.705981078967041,8.477791927788859,3.928766865846885,9.162569239437778,1.597832803101334,0.9756412787299975,1.5980045294649432,2.249256196868964,1.2250796324403184,2.124174287132862
CASTEL SANT'ELIA,3.805767355427879,3.695036733634192,3.805767355427879,4.93671675715546,4.5512298551794155,4.93671675715546,3.0041852472841954,2.7618674087170323,3.0041852472841954,3.406135531545869,3.1388249747671852,3.406135531545869
CASTELFORTE,4.750855551331083,3.708129189674902,4.698167032186973,7.3920318305728046,5.452205603777546,7.191999312549546,2.3320471621874774,2.037603641535812,2.332037685515967,3.353243661822915,2.9016454463452797,3.3888870673947746
CASTELLIRI,1.9318922537908552,1.8661938404228318,1.894434365453762,3.6597485266324647,3.8664594704523996,3.9580210108877663,0.5745651979250629,0.7198140384849409,0.7194743451529967,0.9479510067039915,0.7804764689076272,0.7716474679637165
CASTELNUOVO DI FARFA,0.358,8.164,10.344,1.6,13.5,15.066666666666668,,,,,,
CASTELNUOVO DI PORTO,5.876558640994582,6.084324256979395,5.876408354821525,8.924750298303449,9.124361127435455,8.89980292715963,3.0983158020969728,1.08722532929778,3.0708848810043254,3.6523036689118675,2.10268079707585,3.584147194398008
CASTELNUOVO PARANO,15.99840220734832,2.6302271340815144,3.207777019965722,18.46569850906611,4.662212704300871,5.963449502624544,2.069636798134029,1.7250652575648096,0.4402192094638219,3.1696247670696245,2.8408350735908474,1.4153915830374764
CASTIGLIONE IN TEVERINA,3.5324119280413635,3.5324119280413635,3.5324119280413635,6.088985759520581,6.088985759520581,6.088985759520581,5.026837077129116,5.026837077129116,5.026837077129116,6.550176701037524,6.550176701037524,6.550176701037524
CASTRO DEI VOLSCI,3.266186499540952,3.843864973597471,3.266186499540952,5.075077051071984,5.729921792634966,5.075077051071984,1.6924665514502135,1.8569167844694723,1.6924665514502135,2.208198807922113,2.4933909554640894,2.208198807922113
CASTROCIELO,7.452188925196276,8.43308595511451,2.586274558276224,10.516683329808231,12.622609187810507,4.267744593077814,0.47692353112994373,2.2601891996427685,2.074040952519326,1.0867341724709696,2.3756498313539645,2.3981274260378975
CAVE,3.4696592274920532,3.645293606952655,3.9393709669346024,5.509758863849149,6.044035660739642,7.097920270149951,2.554022888829829,2.5194919296027387,2.524977359634471,3.3235237602859384,3.28737765579981,3.312584729873727
CECCANO,4.343618213814177,4.588661365001663,4.59568427868541,7.463694606390271,7.5355724262966355,7.757951161613483,1.1332985276917185,1.1801817473637826,1.0271820293274219,1.8995477497938213,2.046596412207759,1.5773764251869535
CELLENO,0.7301957422513068,0.7301957422513068,0.9712656782388501,1.6880361161098192,1.6880361161098192,1.9739754611569083,0.5487148622007609,0.5487148622007609,1.1349063838044087,0.6599663291074442,0.6599663291074442,1.9445436482630059
CELLERE,0.5,6.732000000000001,6.507999999999999,1.55,7.8,7.0666666666666655,,,,,,
CEPRANO,2.530985534082992,2.6023122754241714,1.9349945486367295,4.772247154983879,5.030319745993385,3.984760866539852,0.9016690311121187,1.1746503735154559,0.6039588838102585,1.3666222045613046,1.982988999054299,1.0502534967365773
CERRETO LAZIALE,0.4073147757075907,7.550913787066373,7.550913787066373,0.9143404291269387,9.952228562058222,9.952228562058222,1.8731258633631644,1.5351288219559942,1.5351288219559942,3.005203820042827,1.1902964149973552,1.1902964149973552
CERVARA DI ROMA,9.863597553812095,10.593820189620084,13.921150486077789,16.09803724601829,17.088855078256312,19.944799221523954,5.8583195187129675,5.574935956283863,3.2651757864878674,10.056620953381906,9.95281925441787,7.686977925662959
CERVARO,6.096697186722615,4.3129745125948835,4.277021420117392,9.9252707263441,7.090703304330477,7.336991553666571,0.8280116971432594,1.4031431119428244,2.509398640686407,1.3762818634555818,1.8607814171013488,3.332359390543599
CERVETERI,8.610818581945866,10.29094587507383,8.67514363810412,11.374224859035124,12.960284172823219,11.41699058295078,3.8404303347879716,2.7780714171317142,3.6454967308876136,4.518154673500146,3.1620516112885455,4.189754310140063
CIAMPINO,3.573938769037474,3.479045758452369,4.73512061858962,9.95020039873652,9.77584749470716,12.996343647124814,1.1346773793030513,1.203494661206925,1.3698189313781235,2.745758230909384,2.9844230532295764,3.6399259397082306
CICILIANO,0.5984862290287948,8.900257362542376,8.900257362542376,1.877413364807191,11.136943426027099,11.136943426027099,0.8428712831743647,1.0924799769332152,1.0924799769332152,2.0506096654409878,1.4495689014324216,1.4495689014324216
CINETO ROMANO,8.686032816247218,8.686032816247218,11.230032816247219,13.058343439771527,13.058343439771527,18.71863656659131,0.6074047250392444,0.6074047250392444,0.6074047250392444,1.8031222920256966,1.8031222920256966,1.6263455967290572
CISTERNA DI LATINA,8.917248858401372,8.966195314212086,9.490762968024688,11.46989200971987,11.472354899691709,13.210522390824833,2.8829726907964743,2.747367500850212,3.948716271409341,2.8325417084804183,2.6631001089428077,4.132943047954809
CITTADUCALE,9.817455740254918,9.76703683635628,7.89472251939186,13.102748369207303,12.955175959377316,11.064266046136924,3.7301615799246113,3.7366009973745187,4.727039981731579,4.92381881973203,4.953664901197978,6.205913398615156
CITTAREALE,5.545831837550076,5.545831837550076,19.482765243849112,8.427497848511104,8.427497848511104,20.447556209921178,3.2615297484462715,3.2615297484462715,1.3174553123351092,4.3252071241348276,4.3252071241348276,1.4365951258289718
CIVITA CASTELLANA,4.356947079613512,4.158327364725447,3.7995203884415316,6.387460229673935,6.010733741106177,5.93340755267226,2.2777940372211005,2.276426512925467,2.3982873403048823,2.2416432464699736,2.3458646632997646,2.6629735711682794
CIVITELLA D'AGLIANO,4.2201186077478114,4.2201186077478114,8.580277342724388,5.943860723049413,5.943860723049413,11.66882131966295,4.016173386031369,4.016173386031369,2.3912894987154245,5.192509740713772,5.192509740713772,2.0395714873109623
CIVITELLA SAN PAOLO,0.8222858885202055,0.8222858885202055,0.9372858885202056,1.7485207356367076,1.7485207356367076,2.127958836851096,1.359766340221731,1.359766340221731,1.3597663402217308,2.4866588471726923,2.4866588471726923,2.262741699796952
COLFELICE,0.9996856342972738,0.836348754003372,1.2550105481984162,2.075164487638651,1.4453871619960343,2.5131538374419424,0.5158343968755863,0.01555634918610406,1.181575431362721,1.1078006238589242,0.5774705379690138,2.0152543263816605
COLLALTO SABINO,29.510190853204875,3.3431395332688916,28.999190853204873,44.53655827972509,6.03414145228605,44.13161870041107,7.394215610867728,7.599276577411826,7.394215610867728,12.374368670764582,12.84577319155561,12.3625835577448
COLLE DI TORA,3.898,0.6580000000000001,12.609000000000002,6.883333333333334,1.9666666666666663,20.03333333333333,,,,,,
COLLE SAN MAGNO,0.086,0.086,8.366,0.1666666666666666,0.1666666666666666,13.916666666666666,,,,,,
COLLEFERRO,2.763101506078463,2.6213995677806006,2.14390418021682,6.12178653998193,6.028285581623535,4.977318118219759,1.381652566071997,1.5088073999023204,1.6290097388188527,1.7632259471606981,2.000857917846095,2.583185479639862
COLLEGIOVE,25.481,10.5,35.952,38.7,17.85,55.5,,,,,,
COLLEPARDO,2.3874484236565072,2.3874484236565072,18.72342427217591,4.453300849667959,4.453300849667959,29.052375978467833,8.017883791874263,8.017883791874263,7.119858179767348,14.578184805462655,14.578184805462655,11.76154279373624
COLLEVECCHIO,2.6786149213536024,2.6786149213536024,8.14775627077636,3.9470088265204084,3.9470088265204084,11.517774513184959,1.5193166866866317,1.5193166866866317,2.8197754835762687,1.9467387258352535,1.9467387258352535,3.4475780996355136
COLLI SUL VELINO,0.175,0.175,14.728,0.2666666666666666,0.2666666666666666,18.23333333333333,,,,,,
COLONNA,1.4430042092274769,1.4430042092274769,1.4430042092274769,3.8259582331144557,3.8259582331144557,3.8259582331144557,0.5981290273288309,0.5981290273288309,0.5981290273288309,0.9141379262169074,0.9141379262169074,0.9141379262169074
CONCERVIANO,10.385143120200638,10.385143120200638,19.92314312020064,19.333552998402325,19.333552998402325,32.050219665069,5.038842922735338,5.038842922735338,5.038842922735337,9.21595838146467,9.21595838146467,9.21595838146467
CONFIGNI,3.343556844385933,9.60571389315375,8.714035950559412,5.861742163625948,14.889529348618588,12.900802382143087,2.2995997622774853,2.2389237295331585,2.239175800750505,3.520570503010366,2.8810041973563987,2.870257763621524
CONTIGLIANO,4.757885545153176,4.757885545153176,5.035200734561454,6.694143546637819,6.694143546637819,6.293927788774208,2.7368382812613863,2.7368382812613863,3.5211760819362614,3.273788768572977,3.273788768572977,3.267773102493917
CORCHIANO,0.9757123053627246,0.9757123053627246,1.2542842816780442,1.7602003788068759,1.7602003788068759,2.91856804531194,0.852720743659181,0.852720743659181,0.7438263686282348,1.504591737414604,1.504591737414604,1.104818989699218
CORENO AUSONIO,2.014735602260777,2.1243650796719624,2.1243650796719624,3.3699596249740202,3.5636183199824947,3.5636183199824947,4.273046278710306,4.521947865687972,4.521947865687972,6.375746143698702,6.564307952015116,6.564307952015116
CORI,5.213708187563836,4.448971982982145,4.287340382443773,8.243932802659655,7.211248231197077,8.131568591059871,0.24090281581307157,0.29658848454831593,2.615305973176625,0.7240694858716056,0.4196766281581835,2.5392110177361378
