Comune,Popolazione_totale_driving,SI_mean_km_driving,SP_mean_km_driving,SS_mean_km_driving,IC_mean_km_driving,SI_mean_min_driving,SP_mean_min_driving,SS_mean_min_driving,IC_mean_min_driving,SI_St.Dv_km_driving,SP_St.Dv_km_driving,SS_St.Dv_km_driving,IC_St.Dv_km_driving,SI_St.Dv_min_driving,SP_St.Dv_min_driving,SS_St.Dv_min_driving,IC_St.Dv_min_driving,Popolazione_totale_transit,SI_mean_km_transit,SP_mean_km_transit,SS_mean_km_transit,IC_mean_km_transit,SI_mean_min_transit,SP_mean_min_transit,SS_mean_min_transit,IC_mean_min_transit,SI_St.Dv_km_transit,SP_St.Dv_km_transit,SS_St.Dv_km_transit,IC_St.Dv_km_transit,SI_St.Dv_min_transit,SP_St.Dv_min_transit,SS_St.Dv_min_transit,IC_St.Dv_min_transit,SI_diff_km,SI_diff_min,SP_diff_km,SP_diff_min,SS_diff_km,SS_diff_min,IC_diff_km,IC_diff_min,std_diff
ACCUMOLI,369.0,4.913219512195122,4.913219512195122,14.299333333333337,14.299333333333337,7.364995483288166,7.364995483288166,17.643360433604336,17.643360433604336,4.768208919500068,4.768208919500068,3.863248654522081,3.863248654522081,6.405264038851748,6.405264038851748,5.097948025830989,5.097948025830989,369.0,6.135867208672087,6.135867208672087,65.9310840108401,65.9310840108401,44.69602529358627,44.69602529358627,157.01287262872626,157.01287262872626,6.697290486955652,6.697290486955652,20.779140556497197,20.779140556497197,45.63666289289786,45.63666289289786,74.88058845774236,74.88058845774236,1.2226476964769653,37.3310298102981,1.2226476964769653,37.3310298102981,51.63175067750676,139.36951219512193,51.63175067750676,139.36951219512193,58.911945272578926
ACQUAFONDATA,249.0,5.072522088353414,5.448522088353414,10.201437751004017,,8.566532797858098,9.149866131191432,17.29825970548862,,2.240821389580169,2.240821389580169,2.760544873752281,,3.759451053308478,3.759451053308477,4.855466564147627,,249.0,5.129373493975903,17.74484738955823,10.550638554216867,,56.77255689424365,93.88159303882192,31.350468540829983,,3.156524671216748,36.85864807612997,3.635943068861229,,7.719249027953147,95.82475396379697,0.0471404520791055,,0.05685140562248936,48.20602409638555,12.296325301204817,84.73172690763049,0.34920080321285063,14.052208835341364,,,35.34639146521175
ASCREA,174.0,5.22609195402299,14.944471264367817,16.947655172413793,18.821862068965515,9.540996168582376,27.48639846743295,24.857279693486586,29.402873563218392,2.264155913359325,7.759082709959985,5.5069476118808325,3.273197290112528,6.175399222362515,13.7296566680388,6.847150664489733,3.323401871576768,174.0,5.22609195402299,31.253896551724136,61.116908045977006,40.76759770114943,48.97088122605364,149.55536398467433,155.29233716475096,106.30268199233716,2.264155913359325,42.407314988100815,46.00366007721559,12.563873288122576,30.028467974388715,361.7440441420179,104.60466316352992,4.195500235040204,0.0,39.42988505747127,16.30942528735632,122.06896551724138,44.16925287356321,130.43505747126437,21.94573563218391,76.89980842911876,50.30101145418406
BASSANO IN TEVERINA,1036.0,0.205,0.422,8.652,9.552,0.5166666666666667,1.15,10.716666666666669,12.65,,,,,,,,,1036.0,0.205,0.422,8.695,9.565,2.55,5.416666666666667,77.9,23.48333333333333,,,,,,,,,0.0,2.033333333333333,0.0,4.2666666666666675,0.04300000000000104,67.18333333333334,0.0129999999999999,10.83333333333333,36.986522820756896
BELMONTE IN SABINA,463.0,2.6927213822894167,2.6927213822894167,10.925099352051836,10.925099352051836,4.800791936645068,4.800791936645068,16.26641468682505,16.26641468682505,1.529502424537688,1.529502424537688,1.6862682665183109,1.6862682665183109,2.2512959230925937,2.2512959230925937,2.333149794368754,2.333149794368754,463.0,2.558509719222462,2.558509719222462,23.04583369330453,23.04583369330453,36.48002159827214,36.48002159827214,178.47177825773937,178.47177825773937,1.4101791848319607,1.4101791848319607,2.4572224156555302,2.4572224156555302,18.978128249431023,18.978128249431023,26.695550329734864,26.695550329734864,-0.13421166306695476,31.67922966162707,-0.13421166306695476,31.67922966162707,12.120734341252694,162.20536357091433,12.120734341252694,162.20536357091433,75.35929854880814
CAMERATA NUOVA,382.0,31.99,0.128,31.99,31.99,36.516666666666666,0.5,36.516666666666666,36.516666666666666,,,,,,,,,382.0,41.004,0.128,41.004,41.004,89.41666666666669,1.666666666666667,89.41666666666669,89.41666666666669,,,,,,,,,9.014,52.90000000000002,0.0,1.166666666666667,9.014,52.90000000000002,9.014,52.90000000000002,29.868253926076655
CANTERANO,317.0,8.669,1.579,8.646,10.275,14.2,3.65,14.116666666666667,15.833333333333334,,,,,,,,,317.0,8.232,0.047,8.209,10.024,65.55,0.9166666666666666,65.26666666666667,69.06666666666666,,,,,,,,,-0.43700000000000117,51.349999999999994,-1.532,-2.7333333333333334,-0.43700000000000117,51.15,-0.2510000000000012,53.23333333333333,31.167452455928967
CAPRANICA PRENESTINA,272.0,10.546628676470588,12.359952205882353,16.062952205882354,16.472830882352945,17.199142156862745,22.00839460784314,28.38511029411765,27.467218137254903,5.250911444692246,3.25017420045962,3.250174200459621,5.514383495308734,7.488682819452986,4.878021380907693,4.818377243352709,7.360046044541961,272.0,10.597415441176471,77.97941544117646,75.01541544117647,27.713415441176476,25.18621323529411,216.4028799019608,211.0362132352941,60.88621323529412,5.318370897182708,5.318370897182708,5.318370897182704,5.318370897182708,8.224798770475472,8.22479877047546,8.224798770475486,8.224798770475473,0.05078676470588306,7.9870710784313665,65.6194632352941,194.39448529411766,58.95246323529412,182.65110294117645,11.240584558823532,33.41899509803922,104.39760144931161
CASTELNUOVO DI FARFA,672.0,0.358,8.164,10.344,11.372,1.6,13.5,15.066666666666666,16.0,,,,,,,,,672.0,0.228,62.256,61.73,26.87,3.8333333333333335,160.0,153.06666666666666,261.28333333333336,,,,,,,,,-0.12999999999999998,2.2333333333333334,54.092,146.5,51.385999999999996,138.0,15.498000000000001,245.28333333333336,80.95030254101266
CERRETO LAZIALE,1069.0,0.2629504209541628,7.669228250701589,7.669228250701589,,0.682725288431556,10.04396632366698,10.04396632366698,,1.8731258633631644,1.5351288219559935,1.5351288219559935,,3.005203820042827,1.1902964149973552,1.1902964149973552,,1069.0,0.2268419083255379,8.848572497661367,8.848572497661367,,4.401730589335827,92.35056127221704,92.35056127221704,,0.781352993211135,1.4340125522463187,1.4340125522463187,,15.674200316301803,9.557726659038176,9.557726659038176,,-0.03610851262862491,3.719005300904271,1.1793442469597784,82.30659494855006,1.1793442469597784,82.30659494855006,,,45.37256603803214
CITTADUCALE,5966.0,7.288185439713935,7.234166610794501,4.7262990278243375,4.7262990278243375,9.918484374417998,9.736781577084962,6.711864454128953,6.711864454128953,3.730161579924611,3.736600997374519,4.727039981731579,4.727039981731579,4.923818819732031,4.953664901197977,6.205913398615156,6.205913398615156,5966.0,19.319701083919988,19.341469270309528,10.870269024472009,10.870269024472009,74.98056207397474,75.4241237382203,22.993217119231204,22.993217119231204,12.43998797511427,12.43762278748249,23.866819999740223,23.866819999740223,42.31956096650586,42.28710648041076,37.94068148740077,37.94068148740077,12.031515644206053,65.06207769955674,12.107302659515026,65.68734216113535,6.143969996647671,16.28135266510225,6.143969996647671,16.28135266510225,28.34578713147129
COLLALTO SABINO,343.0,27.478040816326534,1.2546326530612244,26.96704081632653,26.96704081632653,41.135714285714286,2.5037414965986398,40.73401360544218,40.73401360544218,7.394215610867728,7.599276577411826,7.394215610867728,7.394215610867728,12.374368670764582,12.84577319155561,12.3625835577448,12.3625835577448,343.0,45.41910204081633,1.2677959183673468,45.90891836734694,45.90891836734694,291.4772108843537,8.131292517006802,291.5455782312925,291.5455782312925,40.5737871044841,7.690493352184891,39.88647931317077,39.88647931317077,66.79802059608919,38.56088980070639,70.8285292488525,70.8285292488525,17.941061224489793,250.34149659863942,0.01316326530612244,5.627551020408163,18.94187755102041,250.8115646258503,18.94187755102041,250.8115646258503,141.42155461131645
COLLE DI TORA,347.0,3.898,0.658,12.609000000000002,12.609000000000002,6.883333333333334,1.966666666666666,20.03333333333333,20.03333333333333,,,,,,,,,347.0,3.307,0.348,67.058,67.058,47.06666666666667,5.483333333333333,322.6166666666667,322.6166666666667,,,,,,,,,-0.5910000000000002,40.18333333333334,-0.31000000000000005,3.5166666666666675,54.449000000000005,302.58333333333337,54.449000000000005,302.58333333333337,163.11502871468525
COLLE SAN MAGNO,276.0,0.086,0.086,8.366,8.366,0.1666666666666666,0.1666666666666666,13.916666666666666,13.916666666666666,,,,,,,,,276.0,0.086,0.086,24.536,24.536,1.05,1.05,61.5,61.5,,,,,,,,,0.0,0.8833333333333334,0.0,0.8833333333333334,16.17,47.583333333333336,16.17,47.583333333333336,26.962257571155522
COLLEGIOVE,114.0,25.481,10.5,35.952000000000005,35.952000000000005,38.7,17.85,55.5,55.5,,,,,,,,,114.0,29.053,10.585,96.112,96.112,96.33333333333331,87.11666666666666,231.61666666666667,231.61666666666667,,,,,,,,,3.571999999999999,57.63333333333331,0.08500000000000085,69.26666666666665,60.15999999999999,176.11666666666667,60.15999999999999,176.11666666666667,65.30767849472504
COLLEPARDO,579.0,2.0327927461139894,2.0327927461139894,19.038357512953368,14.724590673575127,3.8084628670120897,3.8084628670120897,29.572625215889463,23.56105354058722,8.017883791874263,8.017883791874263,7.119858179767348,2.032224889130137,14.578184805462657,14.578184805462657,11.76154279373624,5.468292441175968,579.0,6.304497409326424,6.304497409326424,39.35070466321244,31.66844559585492,30.95785837651123,30.95785837651123,157.28721934369602,78.67322970639033,25.683532506257777,25.683532506257777,24.91349322154563,15.675850232124578,123.20157150873617,123.20157150873617,83.52109597115103,38.50196423560752,4.271704663212434,27.14939550949914,4.271704663212434,27.14939550949914,20.312347150259072,127.71459412780656,16.94385492227979,55.112176165803106,58.06134449338797
COLLI SUL VELINO,388.0,0.175,0.175,14.728,14.78,0.2666666666666666,0.2666666666666666,18.23333333333333,18.3,,,,,,,,,388.0,0.175,0.175,61.433,61.485,2.0166666666666666,2.0166666666666666,108.66666666666669,109.36666666666666,,,,,,,,,0.0,1.75,0.0,1.75,46.705,90.43333333333335,46.705,91.06666666666666,51.201346372633324
CONFIGNI,484.0,3.4952293388429747,9.438723140495869,8.547037190082644,19.26904752066116,6.155716253443527,14.689841597796145,12.702341597796144,23.819111570247927,2.2995997622774853,2.2389237295331585,2.2391758007505054,2.2832531543100223,3.520570503010366,2.8810041973563987,2.870257763621524,2.86481367760757,484.0,5.229192148760331,47.74715289256198,46.8555847107438,34.12345867768595,32.11893939393939,180.85977961432508,170.62644628099173,95.47830578512396,4.0402517578322605,31.98900167713897,31.988454110819426,24.81764237593893,16.751210293477193,124.77795541443771,124.7779554144377,59.54594374654471,1.7339628099173559,25.963223140495867,38.30842975206611,166.16993801652893,38.30854752066115,157.9241046831956,14.854411157024792,71.65919421487604,78.67611975817563
FONTECHIARI,249.0,0.8338032128514056,0.984718875502008,6.121606425702811,6.121606425702811,1.363788487282463,1.696519410977242,7.989022757697456,7.989022757697456,2.2142258993457133,2.2032140915792398,2.0513157566141134,2.0513157566141134,3.359659925470853,3.3304292905358706,2.501906680321438,2.501906680321438,249.0,0.7672329317269077,1.0916987951807229,11.857381526104415,11.857381526104415,10.823427041499327,10.061579651941097,70.54437751004016,70.54437751004016,2.007472374239141,2.930581341645374,17.696233846028747,17.696233846028747,28.462145100180056,16.957170994837206,67.34452670988028,67.34452670988028,-0.06657028112449792,9.459638554216864,0.1069799196787149,8.365060240963855,5.735775100401605,62.55535475234271,5.735775100401605,62.55535475234271,30.97563881371334
GALLESE,2019.0,6.782945517582963,1.4500782565626549,1.8502689450222884,14.832693412580486,7.096268779924055,2.024715205547301,2.953557866930824,18.74422981674096,2.271168641911032,1.8347122390173345,1.2824616953344063,3.333524461187189,2.2290381582896046,2.629797203841645,1.7190921376638824,1.15325625946708,2019.0,29.304617137196622,1.4854873699851412,1.9399063893016344,32.594705794948,224.3641489186066,6.587964338781576,14.97313026250619,120.01570084200098,18.68659397357724,1.8953272364774725,1.4057563800317607,2.325307721571492,153.26327113101098,1.5976545308670458,4.1088094157328365,2.827985148475857,22.52167161961366,217.26788013868253,0.035409113422486316,4.563249133234274,0.08963744427934595,12.019572395575366,17.762012382367512,101.27147102526003,120.71020713480533
GENAZZANO,4478.0,11.888322688700312,0.9182626172398394,1.219449531040643,1.219449531040643,15.875779737978265,2.177590442161679,2.635116123269316,2.635116123269316,4.077207325486405,3.116744134509601,3.108276162119448,3.108276162119448,2.453847602349329,4.02259935309938,3.904207132483282,3.904207132483282,4478.0,23.967740732469856,0.923723760607414,1.2248376507369363,1.2248376507369363,91.70792764627066,9.097554711924968,11.769487866607117,11.769487866607117,3.787604378099698,3.103730126799042,3.0947012295211955,3.0947012295211955,18.4413296399389,10.146396459389466,11.0073838853744,11.0073838853744,12.079418043769545,75.8321479082924,0.005461143367574639,6.919964269763288,0.00538811969629327,9.1343717433378,0.00538811969629327,9.1343717433378,39.162877830159026
GERANO,957.0,0.8181974921630094,6.573278996865204,6.573278996865204,20.269244514106585,2.756269592476489,10.28092998955068,10.28092998955068,30.150156739811912,0.2192031021678296,0.1378858223313769,0.1378858223313769,0.3945655839020934,0.8720983634634082,0.4596194077712549,0.4596194077712549,0.5421151989096857,957.0,0.7888557993730408,7.301047021943574,7.301047021943574,69.17304702194357,11.090438871473356,78.70877742946709,78.70877742946709,231.62544409613372,0.1979898987322333,0.3882016228714154,0.3882016228714154,0.3882016228714092,2.9934187070230505,4.042293765783098,4.042293765783098,4.042293765783098,-0.029341692789968565,8.334169278996868,0.7277680250783698,68.4278474399164,0.7277680250783698,68.4278474399164,48.903802507836986,201.47528735632181,34.69510126280163
GORGA,561.0,1.564727272727273,1.564727272727273,13.105818181818185,17.08081818181818,2.8090909090909086,2.8090909090909086,21.1530303030303,28.324242424242428,5.043085563422457,5.043085563422457,5.00985154470669,5.009851544706689,8.072802418546418,8.072802418546418,7.766389480032246,7.683893688893817,561.0,1.664,1.664,38.905545454545454,37.377545454545455,6.481818181818181,6.481818181818181,168.3757575757576,86.7590909090909,5.429165865950312,5.429165865950312,4.804790578162597,4.8047905781625895,12.244732427547046,12.244732427547046,8.00209174042778,8.00209174042776,0.09927272727272696,3.672727272727272,0.09927272727272696,3.672727272727272,25.799727272727267,147.2227272727273,20.296727272727274,58.43484848484847,82.87863114217079
JENNE,305.0,12.723,15.297,12.723,12.723,22.466666666666665,23.98333333333333,22.466666666666665,22.466666666666665,,,,,,,,,305.0,13.622,40.837,13.622,13.622,30.35,184.4333333333333,30.35,30.35,,,,,,,,,0.8989999999999991,7.883333333333336,25.540000000000003,160.45,0.8989999999999991,7.883333333333336,0.8989999999999991,7.883333333333336,88.0844060693639
