Comune,Popolazione_totale,mean_km,mean_min,St.Dv_km,St.Dv_min
ACCUMOLI,490.0,117.15847551020408,105.76239229024945,3.1635324675436145,5.37151328834424
ACQUAFONDATA,255.0,48.99683267973857,58.99130718954249,2.000590533188012,4.518840304267591
ACQUAPENDENTE,4502.0,42.213872797275286,44.960063428599625,6.130634158485171,7.756046857780215
ACUTO,1790.0,27.655297206703914,33.015642458100565,1.1505779369033997,0.8359809791681057
AFFILE,1345.0,27.038837918215602,36.71482858323007,1.272286058563407,2.4670753748821284
AGOSTA,1588.0,32.3094529806885,31.11830394626364,0.39626496933986594,0.31395443432331943
ALATRI,16092.0,18.430565601955422,22.272092758306407,1.7073103439762045,2.1490870094716583
ALBANO LAZIALE,38363.0,13.016434707052802,22.65975462468177,1.0314733788853714,1.6905887370315034
ALLUMIERE,3642.0,26.464487369577157,30.500421014094815,0.6814152348034376,1.131370849898467
ALVITO,962.0,34.67794941094941,35.89720489720489,0.37115608747512235,1.1793527953386216
AMASENO,2316.0,35.36134254461715,37.573620706198426,0.46876022062931716,0.5682168339378624
AMATRICE,2107.0,111.66123698781838,102.56627906976742,4.523411626429743,4.833951244377885
ANAGNI,12468.0,23.384432574056245,27.237201012369443,2.9946780990363933,4.133278525104953
ANGUILLARA SABAZIA,17530.0,19.070264936299672,23.15286936679977,1.7143239100843422,2.573214460540097
ANTICOLI CORRADO,794.0,32.65833333333333,33.66111111111111,,
ANTRODOCO,2328.0,66.3113396334479,60.616444730813306,3.8253923580623326,4.2016321259774605
AQUINO,3616.0,32.802429111356936,37.752008050639134,2.3068720161217087,1.6578533436919776
ARCE,2940.0,31.252112811791385,34.254172335600906,1.2046844521146052,1.5322224488356933
ARCINAZZO ROMANO,1179.0,29.071640655923094,38.34558005842994,3.0068537358655925,5.0008162913915335
ARICCIA,17854.0,11.778796198797655,19.44387345506142,0.5704595937909622,0.8768337633552172
ARLENA DI CASTRO,799.0,35.192,38.67777777777778,,
ARNARA,1030.0,27.81681488673139,35.95400215749731,1.872537587305797,2.254691366233191
ARPINO,3085.0,29.23356758508914,32.90632631010265,2.6601558014907942,3.1335927712803278
ARSOLI,1260.0,32.337,31.405555555555555,,
ARTENA,12905.0,13.016776830685782,18.82368504886134,0.5210575997164055,0.9268386242442354
ASCREA,190.0,47.126378947368416,50.437602339181296,2.622285481816991,4.584161541333054
ATINA,2671.0,31.013054910770006,31.84483131577853,1.3278401615049529,1.4496841309405115
AUSONIA,1627.0,28.485481458717473,32.89080789455713,1.5052476683954286,2.578456767217848
BAGNOREGIO,3060.0,44.46557875816993,44.983681917211335,1.6383482045297078,2.200398668183064
BARBARANO ROMANO,852.0,26.864242175273866,30.821811424100154,0.30240600008745216,0.27105759945484287
BASSANO IN TEVERINA,1036.0,44.67666666666667,43.922222222222224,,
BASSANO ROMANO,3409.0,25.171093575828692,30.66129852351618,0.6578450087638823,4.49405643154117
BASSIANO,1146.0,33.48579348458406,44.04881229396937,0.810111158353524,1.570555653814411
BELLEGRA,2058.0,22.825327826368646,33.21504157218443,0.6891019921285655,0.81399158750367
BELMONTE CASTELLO,339.0,30.581465093412003,30.14183874139626,0.37340259278196747,0.8795668593587987
BELMONTE IN SABINA,463.0,52.80646436285098,53.4797336213103,3.4642996767023493,0.6416345991666423
BLERA,2798.0,27.94956635692161,33.018666110713994,6.22558984562314,6.425650276935521
BOLSENA,3127.0,40.646841381515834,45.07061258572293,0.27495622547221515,0.9293275479388438
BOMARZO,1584.0,44.22337500000001,41.13178661616161,0.2644579361637604,0.10606601717798113
BORBONA,567.0,93.66187477954145,88.40942582794436,2.1389224389865005,4.487577847600153
BORGO VELINO,917.0,67.80687531806616,61.76994426269235,0.8381572379664537,0.3142696805273584
BORGOROSE,4149.0,56.37340877319836,44.680186658097,2.0286510115473635,2.9695322905349886
BOVILLE ERNICA,4125.0,21.458329373737374,26.27686599326599,1.9607942678533525,2.8467924440118177
BRACCIANO,16521.0,19.76547793717088,23.060317172084023,4.357520580545379,2.9355339201640067
BROCCOSTELLA,1681.0,26.646391037081106,27.891390706589995,0.8379690931401957,1.6262457351409358
CALCATA,801.0,29.489854348730756,36.3339367457345,3.7246758297920395,0.7349379190489271
CAMERATA NUOVA,397.0,48.206784214945415,43.18558634200952,0.5904341622907627,0.7896025723249683
CAMPAGNANO DI ROMA,8623.0,25.273787660906876,27.543936758282115,1.1354532257111147,2.0441947059624157
CAMPODIMELE,387.0,29.738097329888024,36.488185472294,0.9960777524314489,2.635936945423183
CAMPOLI APPENNINO,832.0,32.38736338141027,33.61764155982906,1.8632878412540237,2.1520257262940405
CANALE MONTERANO,3134.0,28.004237821740055,31.20757285683897,1.7328620807036945,1.338027039347373
CANEPINA,2755.0,30.24497374470659,37.00681589030047,1.0847018023401631,1.9445436482630107
CANINO,4786.0,42.90233333333333,43.06111111111111,,
CANTALICE,2055.0,54.41005758313057,52.83844552581778,1.6058788688485006,1.0231953536652059
CANTALUPO IN SABINA,1345.0,40.086430483271364,43.4387112763321,0.44995561509503446,0.5656854249492461
CANTERANO,329.0,25.379457953394127,34.52907801418439,0.13812152459177277,0.08249579113843088
CAPENA,9992.0,22.729209634374165,24.951651321056843,1.7104568358487136,2.626297445379128
CAPODIMONTE,1509.0,34.70226883145571,37.028293203740525,0.5563664193610122,0.2169513798862962
CAPRANICA,5593.0,23.90850128136361,28.834117051075754,0.9687327154969387,1.8518064809256811
CAPRANICA PRENESTINA,272.0,28.890626225490195,41.544995915032686,2.2197077969191583,2.6756465316143543
CAPRAROLA,4511.0,25.060335697923595,31.426391044114382,0.6854221732301612,1.1785113019775775
CARBOGNANO,1773.0,24.64466666666667,29.90555555555556,,
CARPINETO ROMANO,3866.0,38.364666666666665,43.18333333333333,,
CASALATTICO,218.0,32.53358868501529,33.061824668705405,2.235905344846046,3.530351059147383
CASALVIERI,795.0,30.07942641509434,31.76169112508736,1.4055481437558752,2.1177866533032073
CASAPE,622.0,26.827,34.17777777777778,,
CASAPROTA,574.0,42.234889082462246,46.282597754548966,0.708513232057095,0.743808462446198
CASPERIA,829.0,41.92410454362686,46.00685564937676,0.7585054529943895,1.1885292810241763
CASSINO,3653.0,30.89948836572679,33.0480290172461,2.99317490722686,3.1562533207668384
CASTEL DI TORA,229.0,43.879333333333335,45.13333333333334,,
CASTEL GANDOLFO,8424.0,13.393720164609054,19.680508072174742,0.6877133069765268,1.0035789863747655
CASTEL MADAMA,6135.0,26.18886481934257,27.767612967490724,0.8064343467112219,2.4154605334133215
CASTEL SAN PIETRO ROMANO,754.0,18.66535985853227,26.11701296787503,1.6165862866615632,2.9534009481433117
CASTEL SANT'ANGELO,1100.0,63.85193272727273,55.14590909090909,2.273999343423146,3.491239666532658
CASTEL SANT'ELIA,2196.0,26.133802975106256,31.65381501720299,0.5583806248628456,0.9141801292097611
CASTELFORTE,3913.0,35.7876874520828,39.02223216060426,1.612218422156483,2.8258079073458098
CASTELLIRI,1892.0,22.030602713178293,24.593140709419785,1.2164201995411987,1.6544334999513646
CASTELNUOVO DI FARFA,672.0,42.62533333333334,45.922222222222224,,
CASTELNUOVO DI PORTO,7705.0,20.873763616699115,22.66879948085659,1.8957538755370522,2.9734220987058526
CASTELNUOVO PARANO,742.0,30.926966756513927,32.924273734651095,1.735453852476081,2.7607718324974098
CASTIGLIONE IN TEVERINA,2001.0,47.715450774612684,50.474351713032384,2.0156875584607263,1.0777395945889956
CASTRO DEI VOLSCI,1815.0,31.402060238751147,38.187076828895,2.94442118978538,2.177087273103445
CASTROCIELO,1384.0,35.08103853564547,39.76808766859345,1.683530247068966,1.5975898870778602
CAVE,10073.0,18.997661140342167,25.943796397410022,2.1828480376690345,2.4370764378217644
CECCANO,17831.0,29.134277868132273,34.4355523152562,2.4478843077676617,3.1020857528489767
CELLENO,987.0,41.941115839243494,41.851131374535626,0.24247443546042496,1.190128939654905
CELLERE,1053.0,41.74614814814815,41.02207977207977,1.1306637431172872,1.6970562748477231
CEPRANO,5607.0,31.58105665537126,38.1045647305947,0.847661445345916,0.691869299486556
CERRETO LAZIALE,1069.0,23.669289990645463,31.247993971520636,1.200667314454758,1.0685169137930013
CERVARA DI ROMA,387.0,39.68331266149872,44.84132931380994,4.285993043667986,8.062988816421186
CERVARO,3716.0,34.108928417653395,36.96843230474822,2.583127967377651,2.8532538482799255
CERVETERI,31451.0,22.472207009846006,21.868532002162095,2.702610486178132,2.4748571476419734
CIAMPINO,37832.0,10.178330311200396,16.855404889452792,1.042147657839684,1.4113131547228301
CICILIANO,1113.0,26.6089035639413,30.456918238993712,0.8914259488158401,0.6835365551470023
CINETO ROMANO,566.0,31.652315076560658,32.3767177071064,0.6064619159976623,1.8620478571245749
CISTERNA DI LATINA,31676.0,17.43658100770299,22.472637889183538,2.163158716934,2.913095361494134
CITTADUCALE,5979.0,55.332597870323916,48.64628700451581,4.911854192949402,5.320686530268975
CITTAREALE,394.0,101.77117597292724,93.81443880428652,3.399440800419321,2.486488151628583
CIVITA CASTELLANA,13272.0,27.206676788225842,33.0055488580805,4.328731128770321,0.9089857776846235
CIVITELLA D'AGLIANO,969.0,45.050246302029585,47.410721247563345,1.905269684697829,2.26330282607955
CIVITELLA SAN PAOLO,1485.0,27.73305117845118,32.63812570145904,1.1143945042538168,2.3992732953290257
COLFELICE,911.0,32.22507537504573,35.696981339187715,1.0844912688303718,2.437151820200989
COLLALTO SABINO,362.0,45.061680478821366,50.597989564149785,2.836734396632339,5.195193053602292
COLLE DI TORA,347.0,47.315666666666665,50.14444444444445,,
COLLE SAN MAGNO,276.0,39.466,52.20555555555555,,
COLLEFERRO,20520.0,14.793635038986352,20.25805853367988,0.6992486443795711,1.2411746062871958
COLLEGIOVE,114.0,49.04766666666667,59.55,,
COLLEPARDO,579.0,24.87426079447323,30.708318940702362,1.2527575140021678,3.181980515339464
COLLEVECCHIO,1202.0,39.270929007210206,43.638708633758554,1.182135591019727,1.7132489751213829
COLLI SUL VELINO,388.0,56.37366666666668,51.65,,
COLONNA,3915.0,13.397057130693911,19.708545480346242,0.2210239638423687,1.1894123112237143
CONCERVIANO,157.0,62.66405095541401,56.542675159235664,5.221771456018431,6.893490846398708
CONFIGNI,484.0,48.27357024793389,51.787167125803485,2.0816179497902354,2.1365468177708524
CONTIGLIANO,2929.0,52.77232969158985,46.67599484086338,1.5364251658064734,1.826407372107577
CORCHIANO,2893.0,26.817495333563773,32.22083957445175,0.06881537295950445,0.38397691545838936
CORENO AUSONIO,1250.0,31.27997866666666,36.94824444444445,2.4455782615433383,3.7565034142450275
CORI,8786.0,20.955662341604064,28.01115221185219,2.4440379687297393,3.0585957098069354
COTTANELLO,408.0,45.0070702614379,48.91179193899782,1.2184570287310912,1.4368684871562616
ESPERIA,1258.0,32.08647376788553,34.780277336159685,1.1971317805488235,1.4652823854587858
FABRICA DI ROMA,6833.0,25.158277964778765,31.628712782737374,0.9641289870674485,1.5681139886760367
FALERIA,1663.0,27.195691521346962,34.78666399412039,0.32944099679665034,0.1988650927208705
FALVATERRA,206.0,34.64202265372169,36.60091693635383,0.8608899529621151,3.073889943169088
FARA IN SABINA,12066.0,32.72223487485497,35.6901021235059,3.5731308638418056,4.663528290584804
FARNESE,1309.0,43.837333333333326,44.1,,
FERENTINO,14994.0,17.489933195500424,23.019949461265988,2.1467815222820796,2.5635752167933092
FIAMIGNANO,1162.0,61.5698198508319,49.44214955058329,1.7115122697522973,2.968052372443557
FIANO ROMANO,13944.0,24.023666666666667,25.75,,
FILACCIANO,370.0,41.77566666666667,45.60555555555556,,
FILETTINO,509.0,46.436623444662736,67.18519973804847,5.92476770290054,7.6181827110492675
FIUGGI,9607.0,26.24367377953575,33.78658212183247,1.6664149809962987,3.7908780213612125
FONDI,33212.0,15.945215604801474,21.332090308723757,1.2072223052031033,1.782268921989066
FONTANA LIRI,1928.0,31.14011462655602,36.622029160903644,3.4331163739432196,4.93059963464908
FONTE NUOVA,31026.0,15.612154537054941,20.687943803405027,1.0209862987436344,2.578901215921517
FONTECHIARI,252.0,28.835781746031742,30.20343915343915,0.8794245172165044,1.8276307213159733
FORANO,2660.0,39.8647911027569,42.23724310776942,1.9643654992935515,0.5398426077592112
FORMELLO,12094.0,19.549606443966702,19.972037098285654,2.164241118509585,1.7996876566159086
FORMIA,35353.0,22.98759733733111,27.38334354777373,1.8164708912518872,2.0225644127792006
FRASCATI,22080.0,8.334333333333333,13.977777777777776,,
FRASSO SABINO,645.0,38.01352403100775,40.947743324720065,0.9576895953862645,1.5769453659663735
FUMONE,1714.0,19.100590042784912,25.172176844288863,1.0889345863426934,1.3083052210552129
GAETA,18773.0,23.380921891368814,28.486370200701952,2.2535493116415277,2.2902402968430966
GALLESE,2019.0,33.99435017335314,38.14308238401849,1.2737503825463727,0.47910023694111925
GALLICANO NEL LAZIO,5649.0,14.820986723313862,21.29657264805964,0.6034906792983636,0.9408477264916194
GALLINARO,329.0,34.151213779128675,36.8725430597771,2.2483385183850686,2.6546422019659355
GAVIGNANO,1192.0,21.97379110738255,27.963250372856077,2.5686606159219183,1.8079239655626365
GENAZZANO,4500.0,20.56232637037037,26.91492469135802,1.712943553379239,2.003548301903392
GENZANO DI ROMA,21190.0,11.052881988359289,18.6734796287557,2.461980786854615,2.4478043287293274
GERANO,957.0,22.668237199582027,31.05787182166492,0.3943298816417001,1.3277894002280741
GIULIANO DI ROMA,1263.0,35.208504882554756,37.499340195302196,1.0702419923653808,1.775160399638423
GORGA,573.0,29.27120942408377,38.55927865037813,4.238944605720907,5.641438941735815
GRADOLI,1221.0,39.431796068796075,43.04059059059059,1.2740778364500864,2.8728686857558805
GRAFFIGNANO,1753.0,45.05921277809469,45.322013056981675,0.940682453210314,0.9651440754725433
GRECCIO,1196.0,54.91341806020066,49.80473801560758,2.0181685169883505,3.266821613861111
GROTTAFERRATA,20012.0,9.983555616630023,16.502716148088926,1.4637218163146826,1.5464734318590203
GROTTE DI CASTRO,2294.0,39.65766666666666,41.855555555555554,,
GUARCINO,1028.0,21.635725356679643,28.996811500216165,0.31560532666959956,0.21213203435596475
ISCHIA DI CASTRO,1958.0,41.30966666666667,40.31666666666667,,
ISOLA DEL LIRI,8806.0,24.47032099326217,32.572619678502036,1.720018491502667,2.8669450461610237
ITRI,8098.0,19.674529678109824,25.45160807881233,0.8570601236526845,2.034475647338152
JENNE,317.0,34.96916403785489,49.64114966701718,0.30193459556665553,0.3535533905932738
LABICO,6129.0,16.094618317289388,20.472873950798576,0.3002846797438874,1.5831335156565494
LABRO,135.0,59.75891851851852,56.61497942386832,1.071941281559359,2.8845337542528195
LANUVIO,9621.0,13.84289609534698,21.956194782247163,0.8523671799898266,1.215876156539938
LARIANO,13106.0,14.475,20.222222222222225,,
LATERA,749.0,38.644246105919,40.32814122533749,0.08226008887802753,0.3928371006591992
LENOLA,3624.0,22.591318984547456,31.316015145940636,2.6545874319491607,3.157486461174225
LEONESSA,2004.0,80.06775615435794,82.1556636726547,4.1196282993754245,3.761785307078486
LICENZA,809.0,40.28225669550886,36.3483724763082,3.5899811280841054,6.0654048341779445
LONGONE SABINO,383.0,62.01446997389034,57.974267478967214,4.398104549647453,3.528047525411731
LUBRIANO,450.0,48.929333333333346,46.516666666666666,,
MAENZA,1713.0,34.94554154504767,40.665369397418445,2.3493314494254016,3.5183484364349953
MAGLIANO ROMANO,1321.0,24.508,30.69444444444445,,
MAGLIANO SABINA,2486.0,48.70266626441405,45.23817377312953,4.642492398924749,3.9249811931084637
MANDELA,839.0,28.116278108859756,26.90215865448285,0.2618652112994191,0.7424621202458753
MANZIANA,7105.0,28.445973680506686,28.657009930408947,1.187524077728611,2.1155672998039994
MARANO EQUO,782.0,32.818666666666665,33.044444444444444,,
